"","Shield","Week","Date","Freq","LowCount"
"1","0",5,2020-02-02,3,1
"2","0",8,2020-02-23,3,1
"3","0",9,2020-03-01,3,1
"4","0",10,2020-03-08,3,1
"5","0",11,2020-03-15,3,1
"6","0",12,2020-03-22,39,0
"7","0",13,2020-03-29,159,0
"8","0",14,2020-04-05,309,0
"9","0",15,2020-04-12,471,0
"10","0",16,2020-04-19,411,0
"11","0",17,2020-04-26,339,0
"12","0",18,2020-05-03,273,0
"13","0",19,2020-05-10,183,0
"14","0",20,2020-05-17,147,0
"15","0",21,2020-05-24,117,0
"16","0",22,2020-05-31,81,0
"17","0",23,2020-06-07,57,0
"18","0",24,2020-06-14,39,0
"19","0",25,2020-06-21,27,0
"20","0",26,2020-06-28,21,0
"21","0",27,2020-07-05,3,1
"22","0",28,2020-07-12,9,0
"23","0",29,2020-07-19,3,1
"24","0",30,2020-07-26,3,1
"25","0",31,2020-08-02,3,1
"26","0",32,2020-08-09,3,1
"27","0",33,2020-08-16,3,1
"28","0",34,2020-08-23,9,0
"29","0",35,2020-08-30,3,1
"30","0",36,2020-09-06,3,1
"31","0",37,2020-09-13,3,1
"32","0",38,2020-09-20,3,1
"33","0",39,2020-09-27,9,0
"34","0",40,2020-10-04,9,0
"35","0",41,2020-10-11,15,0
"36","0",42,2020-10-18,27,0
"37","0",43,2020-10-25,39,0
"38","0",44,2020-11-01,69,0
"39","0",45,2020-11-08,117,0
"40","0",46,2020-11-15,93,0
"41","0",47,2020-11-22,111,0
"42","0",48,2020-11-29,93,0
"43","1",11,2020-03-15,3,1
"44","1",12,2020-03-22,9,0
"45","1",13,2020-03-29,33,0
"46","1",14,2020-04-05,57,0
"47","1",15,2020-04-12,99,0
"48","1",16,2020-04-19,129,0
"49","1",17,2020-04-26,99,0
"50","1",18,2020-05-03,87,0
"51","1",19,2020-05-10,75,0
"52","1",20,2020-05-17,45,0
"53","1",21,2020-05-24,27,0
"54","1",22,2020-05-31,21,0
"55","1",23,2020-06-07,15,0
"56","1",24,2020-06-14,15,0
"57","1",25,2020-06-21,9,0
"58","1",26,2020-06-28,9,0
"59","1",27,2020-07-05,3,1
"60","1",28,2020-07-12,3,1
"61","1",29,2020-07-19,3,1
"62","1",31,2020-08-02,3,1
"63","1",35,2020-08-30,3,1
"64","1",37,2020-09-13,3,1
"65","1",38,2020-09-20,3,1
"66","1",39,2020-09-27,3,1
"67","1",40,2020-10-04,3,1
"68","1",41,2020-10-11,9,0
"69","1",42,2020-10-18,9,0
"70","1",43,2020-10-25,9,0
"71","1",44,2020-11-01,21,0
"72","1",45,2020-11-08,27,0
"73","1",46,2020-11-15,21,0
"74","1",47,2020-11-22,39,0
"75","1",48,2020-11-29,33,0
